#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1033806,16545868,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Halorhabdus tiamatea JCM 14471; Halorhabdus tiamatea str. SARL4B; Halorhabdus tiamatea strain SARL4B).,other,-,-,-,-,20180801,-
1033806,23800444,HTIA_RS04935,HTIA_RS04935,HTIA_0994,-,I,-,sulfatase,protein-coding,-,-,-,sulfatase,20210312,-
1033806,23800445,HTIA_RS04930,HTIA_RS04930,HTIA_0993,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800446,HTIA_RS04925,HTIA_RS04925,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1033806,23800447,HTIA_RS04920,HTIA_RS04920,HTIA_0991,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23800449,HTIA_RS04910,HTIA_RS04910,HTIA_0990,-,I,-,alkaline phosphatase family protein,protein-coding,-,-,-,alkaline phosphatase family protein,20210312,-
1033806,23800450,HTIA_RS04905,HTIA_RS04905,HTIA_0989,-,I,-,sulfatase-like hydrolase/transferase,protein-coding,-,-,-,sulfatase-like hydrolase/transferase,20210312,-
1033806,23800451,HTIA_RS04900,HTIA_RS04900,HTIA_0988,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800452,HTIA_RS04895,HTIA_RS04895,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800453,HTIA_RS04890,HTIA_RS04890,HTIA_0986,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800454,HTIA_RS04885,HTIA_RS04885,HTIA_0985,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800455,HTIA_RS04880,HTIA_RS04880,HTIA_0984,-,I,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20210312,-
1033806,23800456,HTIA_RS04875,HTIA_RS04875,HTIA_0983,-,I,-,type II toxin-antitoxin system RelE/ParE family toxin,protein-coding,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,20210312,-
1033806,23800457,HTIA_RS04870,HTIA_RS04870,-,-,I,-,type II toxin-antitoxin system Phd/YefM family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system Phd/YefM family antitoxin,20210312,-
1033806,23800458,HTIA_RS04865,HTIA_RS04865,HTIA_0981,-,I,-,type II toxin-antitoxin system RelE/ParE family toxin,protein-coding,-,-,-,type II toxin-antitoxin system RelE/ParE family toxin,20210312,-
1033806,23800459,HTIA_RS04860,HTIA_RS04860,HTIA_0980,-,I,-,CopG family transcriptional regulator,protein-coding,-,-,-,CopG family transcriptional regulator,20210312,-
1033806,23800460,HTIA_RS04855,HTIA_RS04855,HTIA_0979,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23800461,HTIA_RS04850,HTIA_RS04850,HTIA_0978,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800462,HTIA_RS04845,HTIA_RS04845,HTIA_0977,-,I,-,DUF433 domain-containing protein,protein-coding,-,-,-,DUF433 domain-containing protein,20210312,-
1033806,23800464,HTIA_RS04835,HTIA_RS04835,HTIA_0975,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800465,HTIA_RS04830,HTIA_RS04830,HTIA_0974,-,I,-,IS200/IS605 family transposase,protein-coding,-,-,-,IS200/IS605 family transposase,20210312,-
1033806,23800466,HTIA_RS04825,HTIA_RS04825,HTIA_0973,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800469,HTIA_RS04810,HTIA_RS04810,HTIA_0970,-,I,-,ATPase,protein-coding,-,-,-,ATPase,20210312,-
1033806,23800470,HTIA_RS04805,HTIA_RS04805,HTIA_0969,-,I,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210312,-
1033806,23800471,HTIA_RS04800,HTIA_RS04800,HTIA_0968,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800472,HTIA_RS04795,HTIA_RS04795,HTIA_0967,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800473,HTIA_RS04790,HTIA_RS04790,HTIA_0966,-,I,-,NAD-dependent epimerase/dehydratase family protein,protein-coding,-,-,-,NAD-dependent epimerase/dehydratase family protein,20210312,-
1033806,23800474,HTIA_RS04785,HTIA_RS04785,HTIA_0965,-,I,-,NAD(P)-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)-dependent oxidoreductase,20210312,-
1033806,23800475,HTIA_RS04780,HTIA_RS04780,HTIA_0964,-,I,-,NAD(P)-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)-dependent oxidoreductase,20210312,-
1033806,23800476,HTIA_RS04775,HTIA_RS04775,HTIA_0963,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800477,HTIA_RS04770,HTIA_RS04770,HTIA_0962,-,I,-,"endo-1,4-beta-xylanase",protein-coding,-,-,-,"endo-1,4-beta-xylanase",20210312,-
1033806,23800478,HTIA_RS04765,HTIA_RS04765,HTIA_0961,-,I,-,antitoxin VapB family protein,protein-coding,-,-,-,antitoxin VapB family protein,20210312,-
1033806,23800479,HTIA_RS04760,HTIA_RS04760,HTIA_0960,-,I,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20210312,-
1033806,23800480,HTIA_RS04755,HTIA_RS04755,HTIA_0959,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23800481,HTIA_RS04750,HTIA_RS04750,HTIA_0958,-,I,-,amphi-Trp domain-containing protein,protein-coding,-,-,-,amphi-Trp domain-containing protein,20210312,-
1033806,23800482,trmY,HTIA_RS04745,HTIA_0957,-,I,-,tRNA (pseudouridine(54)-N(1))-methyltransferase TrmY,protein-coding,-,-,-,tRNA (pseudouridine(54)-N(1))-methyltransferase TrmY,20210312,-
1033806,23800483,HTIA_RS04740,HTIA_RS04740,HTIA_0956,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1033806,23800484,HTIA_RS04735,HTIA_RS04735,HTIA_0955,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800485,HTIA_RS04730,HTIA_RS04730,HTIA_0953,-,I,-,1-phosphofructokinase family hexose kinase,protein-coding,-,-,-,1-phosphofructokinase family hexose kinase,20210312,-
1033806,23800486,engB,HTIA_RS04725,HTIA_0952,-,I,-,GTP-binding protein EngB,protein-coding,-,-,-,GTP-binding protein EngB,20210312,-
1033806,23800487,HTIA_RS04720,HTIA_RS04720,HTIA_0950,-,I,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210312,-
1033806,23800488,HTIA_RS04715,HTIA_RS04715,HTIA_0949,-,I,-,sugar ABC transporter ATP-binding protein,protein-coding,-,-,-,sugar ABC transporter ATP-binding protein,20210312,-
1033806,23800489,HTIA_RS04710,HTIA_RS04710,HTIA_0948,-,I,-,substrate-binding domain-containing protein,protein-coding,-,-,-,substrate-binding domain-containing protein,20210312,-
1033806,23800490,HTIA_RS04705,HTIA_RS04705,HTIA_0947,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23800491,HTIA_RS04700,HTIA_RS04700,HTIA_0946,-,I,-,polysaccharide deacetylase family protein,protein-coding,-,-,-,polysaccharide deacetylase family protein,20210312,-
1033806,23800492,HTIA_RS04695,HTIA_RS04695,HTIA_0945,-,I,-,polysaccharide deacetylase family protein,protein-coding,-,-,-,polysaccharide deacetylase family protein,20210312,-
1033806,23800493,HTIA_RS04690,HTIA_RS04690,HTIA_0944,-,I,-,purine/pyrimidine permease,protein-coding,-,-,-,purine/pyrimidine permease,20210312,-
1033806,23800494,HTIA_RS04685,HTIA_RS04685,HTIA_0943,-,I,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210312,-
1033806,25120744,HTIA_RS15380,HTIA_RS15380,-,-,I,-,ribonuclease H-like domain-containing protein,protein-coding,-,-,-,ribonuclease H-like domain-containing protein,20210406,-
1033806,25120747,HTIA_RS15395,HTIA_RS15395,HTIA_0208,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,25120748,HTIA_RS15400,HTIA_RS15400,HTIA_0215,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,25120749,HTIA_RS15405,HTIA_RS15405,HTIA_0339,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,25120750,HTIA_RS15410,HTIA_RS15410,HTIA_0849,-,I,-,S8 family serine peptidase,protein-coding,-,-,-,S8 family serine peptidase,20210312,-
1033806,25120751,HTIA_RS15415,HTIA_RS15415,HTIA_0924,-,I,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20210312,-
1033806,25120752,HTIA_RS15420,HTIA_RS15420,HTIA_0976,-,I,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210312,-
1033806,25120753,HTIA_RS15425,HTIA_RS15425,HTIA_1011,-,I,-,DUF433 domain-containing protein,protein-coding,-,-,-,DUF433 domain-containing protein,20210312,-
1033806,25120756,HTIA_RS15440,HTIA_RS15440,HTIA_1428,-,I,-,S26 family signal peptidase,protein-coding,-,-,-,S26 family signal peptidase,20210312,-
1033806,25120757,HTIA_RS15445,HTIA_RS15445,HTIA_1440,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,25120759,HTIA_RS15455,HTIA_RS15455,HTIA_1526,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,25120760,HTIA_RS15460,HTIA_RS15460,HTIA_1750,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,25120761,HTIA_RS15465,HTIA_RS15465,HTIA_2026,-,I,-,NADH-quinone oxidoreductase subunit L,protein-coding,-,-,-,NADH-quinone oxidoreductase subunit L,20210312,-
1033806,25120763,HTIA_RS15915,HTIA_RS15915,HTIA_2141,-,I,-,DUF58 domain-containing protein,protein-coding,-,-,-,DUF58 domain-containing protein,20210312,-
1033806,25120764,HTIA_RS15480,HTIA_RS15480,HTIA_2162,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,25120765,HTIA_RS15485,HTIA_RS15485,HTIA_2186,-,I,-,tetratricopeptide repeat protein,protein-coding,-,-,-,tetratricopeptide repeat protein,20210312,-
1033806,25120767,HTIA_RS15495,HTIA_RS15495,HTIA_2206,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,25120770,HTIA_RS15510,HTIA_RS15510,HTIA_2769,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,25120771,rnpB,HTIA_RS15515,-,-,I,-,ncRNA,ncRNA,-,-,-,-,20210312,-
1033806,25120772,HTIA_RS15520,HTIA_RS15520,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,25120774,HTIA_RS15530,HTIA_RS15530,HTIA_p2930,-,-,-,DUF3578 domain-containing protein,protein-coding,-,-,-,DUF3578 domain-containing protein,20201105,-
1033806,25120776,HTIA_RS15540,HTIA_RS15540,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210123,-
1033806,28381751,ffs,HTIA_RS15550,-,-,I,-,ncRNA,ncRNA,-,-,-,-,20210312,-
1033806,28381753,HTIA_RS15560,HTIA_RS15560,-,-,I,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210312,-
1033806,28381754,HTIA_RS15565,HTIA_RS15565,HTIA_1299,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,28381755,HTIA_RS15570,HTIA_RS15570,HTIA_1524,-,I,-,"ribbon-helix-helix protein, CopG family",protein-coding,-,-,-,"ribbon-helix-helix protein, CopG family",20210312,-
1033806,31401285,HTIA_RS15625,HTIA_RS15625,HTIA_0109,-,I,-,phosphate uptake regulator PhoU,protein-coding,-,-,-,phosphate uptake regulator PhoU,20210312,-
1033806,31401286,HTIA_RS15630,HTIA_RS15630,-,-,I,-,IS1595-like element ISHti5 family transposase,protein-coding,-,-,-,IS1595-like element ISHti5 family transposase,20210312,-
1033806,31401287,HTIA_RS15635,HTIA_RS15635,-,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,31401288,HTIA_RS15640,HTIA_RS15640,HTIA_0373,-,I,-,DUF1610 domain-containing protein,protein-coding,-,-,-,DUF1610 domain-containing protein,20210312,-
1033806,31401289,HTIA_RS15645,HTIA_RS15645,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401290,HTIA_RS15650,HTIA_RS15650,HTIA_0558,-,I,-,restriction endonuclease subunit S,protein-coding,-,-,-,restriction endonuclease subunit S,20210312,-
1033806,31401291,HTIA_RS15655,HTIA_RS15655,HTIA_0577,-,I,-,PQQ-binding-like beta-propeller repeat protein,protein-coding,-,-,-,PQQ-binding-like beta-propeller repeat protein,20210312,-
1033806,31401295,HTIA_RS15675,HTIA_RS15675,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401298,HTIA_RS15690,HTIA_RS15690,-,-,I,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210312,-
1033806,31401299,HTIA_RS15695,HTIA_RS15695,-,-,I,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20210312,-
1033806,31401300,HTIA_RS15700,HTIA_RS15700,-,-,I,-,acyltransferase,protein-coding,-,-,-,acyltransferase,20210605,-
1033806,31401301,HTIA_RS15705,HTIA_RS15705,-,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,31401302,HTIA_RS15710,HTIA_RS15710,-,-,I,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210312,-
1033806,31401303,HTIA_RS15715,HTIA_RS15715,-,-,I,-,FkbM family methyltransferase,protein-coding,-,-,-,FkbM family methyltransferase,20210312,-
1033806,31401304,HTIA_RS15720,HTIA_RS15720,HTIA_0995,-,I,-,N-acetylneuraminate synthase family protein,protein-coding,-,-,-,N-acetylneuraminate synthase family protein,20210312,-
1033806,31401305,HTIA_RS15725,HTIA_RS15725,HTIA_0996,-,I,-,cytidyltransferase-like protein,protein-coding,-,-,-,cytidyltransferase-like protein,20210605,-
1033806,31401306,HTIA_RS15730,HTIA_RS15730,-,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,31401307,HTIA_RS15735,HTIA_RS15735,-,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,31401308,HTIA_RS15740,HTIA_RS15740,HTIA_1049,-,I,-,AGE family epimerase/isomerase,protein-coding,-,-,-,AGE family epimerase/isomerase,20210312,-
1033806,31401312,HTIA_RS15760,HTIA_RS15760,-,-,I,-,"ribbon-helix-helix protein, CopG family",protein-coding,-,-,-,"ribbon-helix-helix protein, CopG family",20210312,-
1033806,31401315,HTIA_RS15775,HTIA_RS15775,-,-,I,-,PQQ-binding-like beta-propeller repeat protein,protein-coding,-,-,-,PQQ-binding-like beta-propeller repeat protein,20210312,-
1033806,31401316,HTIA_RS15780,HTIA_RS15780,-,-,I,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20210312,-
1033806,31401317,HTIA_RS15785,HTIA_RS15785,-,-,I,-,PQQ-binding-like beta-propeller repeat protein,protein-coding,-,-,-,PQQ-binding-like beta-propeller repeat protein,20210312,-
1033806,31401318,HTIA_RS15790,HTIA_RS15790,HTIA_1265,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401322,HTIA_RS15810,HTIA_RS15810,-,-,I,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210312,-
1033806,31401326,HTIA_RS15830,HTIA_RS15830,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401327,HTIA_RS15835,HTIA_RS15835,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401329,HTIA_RS15845,HTIA_RS15845,-,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,31401336,HTIA_RS15880,HTIA_RS15880,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401338,HTIA_RS15890,HTIA_RS15890,-,-,I,-,Fic family protein,protein-coding,-,-,-,Fic family protein,20210312,-
1033806,31401339,HTIA_RS15895,HTIA_RS15895,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401340,HTIA_RS15900,HTIA_RS15900,-,-,I,-,PH domain-containing protein,protein-coding,-,-,-,PH domain-containing protein,20210312,-
1033806,31401342,HTIA_RS15910,HTIA_RS15910,-,-,I,-,IS1595-like element ISHti5 family transposase,protein-coding,-,-,-,IS1595-like element ISHti5 family transposase,20210312,-
1033806,31401343,HTIA_RS15920,HTIA_RS15920,HTIA_2155,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401344,HTIA_RS15925,HTIA_RS15925,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401345,HTIA_RS15930,HTIA_RS15930,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401346,HTIA_RS15935,HTIA_RS15935,HTIA_2188,-,I,-,pentapeptide repeat-containing protein,protein-coding,-,-,-,pentapeptide repeat-containing protein,20210312,-
1033806,31401348,HTIA_RS15945,HTIA_RS15945,-,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,31401349,HTIA_RS15950,HTIA_RS15950,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401350,HTIA_RS15955,HTIA_RS15955,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401351,HTIA_RS15960,HTIA_RS15960,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401352,HTIA_RS15965,HTIA_RS15965,-,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,31401353,HTIA_RS15970,HTIA_RS15970,-,-,I,-,PQQ-binding-like beta-propeller repeat protein,protein-coding,-,-,-,PQQ-binding-like beta-propeller repeat protein,20210312,-
1033806,31401354,HTIA_RS15975,HTIA_RS15975,-,-,I,-,MgtC/SapB family protein,protein-coding,-,-,-,MgtC/SapB family protein,20210312,-
1033806,31401355,HTIA_RS15980,HTIA_RS15980,HTIA_2656,-,I,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210312,-
1033806,31401356,HTIA_RS15985,HTIA_RS15985,HTIA_2658,-,I,-,glycosyltransferase family 4 protein,protein-coding,-,-,-,glycosyltransferase family 4 protein,20210312,-
1033806,31401357,HTIA_RS15990,HTIA_RS15990,-,-,I,-,DUF2085 domain-containing protein,protein-coding,-,-,-,DUF2085 domain-containing protein,20210312,-
1033806,31401358,HTIA_RS15995,HTIA_RS15995,HTIA_p2804,-,-,-,UvrD-helicase domain-containing protein,protein-coding,-,-,-,UvrD-helicase domain-containing protein,20210103,-
1033806,31401359,HTIA_RS16000,HTIA_RS16000,-,-,-,-,CBS domain-containing protein,protein-coding,-,-,-,CBS domain-containing protein,20201105,-
1033806,31401363,HTIA_RS16020,HTIA_RS16020,-,-,-,-,type II toxin-antitoxin system HicA family toxin,protein-coding,-,-,-,type II toxin-antitoxin system HicA family toxin,20201105,-
1033806,31401364,HTIA_RS16025,HTIA_RS16025,HTIA_p2885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,31401365,HTIA_RS16030,HTIA_RS16030,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401366,HTIA_RS16035,HTIA_RS16035,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401367,HTIA_RS16040,HTIA_RS16040,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401369,HTIA_RS16050,HTIA_RS16050,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401370,HTIA_RS16055,HTIA_RS16055,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401371,HTIA_RS16060,HTIA_RS16060,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401372,HTIA_RS16065,HTIA_RS16065,HTIA_p2934,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210129,-
1033806,31401373,HTIA_RS16070,HTIA_RS16070,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401374,HTIA_RS16075,HTIA_RS16075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1033806,31401376,HTIA_RS16085,HTIA_RS16085,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401378,HTIA_RS16095,HTIA_RS16095,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401380,HTIA_RS16105,HTIA_RS16105,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401381,HTIA_RS16110,HTIA_RS16110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201105,-
1033806,31401382,HTIA_RS16115,HTIA_RS16115,-,-,-,-,DUF1998 domain-containing protein,protein-coding,-,-,-,DUF1998 domain-containing protein,20201105,-
1033806,31401386,HTIA_RS16135,HTIA_RS16135,-,-,-,-,pseudo,pseudo,-,-,-,-,20201105,-
1033806,31401387,HTIA_RS16140,HTIA_RS16140,-,-,-,-,pyruvoyl-dependent arginine decarboxylase,protein-coding,-,-,-,pyruvoyl-dependent arginine decarboxylase,20201105,-
1033806,31401388,pglX,HTIA_RS16145,-,-,-,-,BREX-5 system adenine-specific DNA-methyltransferase PglX,protein-coding,-,-,-,BREX-5 system adenine-specific DNA-methyltransferase PglX,20201105,-
1033806,41484384,HTIA_RS16165,HTIA_RS16165,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,41484385,HTIA_RS16170,HTIA_RS16170,HTIA_0395,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,41484386,HTIA_RS16175,HTIA_RS16175,HTIA_0413,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1033806,41484388,HTIA_RS16185,HTIA_RS16185,-,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,41484391,HTIA_RS16200,HTIA_RS16200,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,41484392,HTIA_RS16205,HTIA_RS16205,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,41484393,HTIA_RS16210,HTIA_RS16210,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,41484394,HTIA_RS16215,HTIA_RS16215,-,-,I,-,IS630 family transposase,protein-coding,-,-,-,IS630 family transposase,20210605,-
1033806,41484395,HTIA_RS16220,HTIA_RS16220,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
